Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
21st Century Insurance Group,TW,"NEW YORK STOCK EXCHANGE, INC.",774400338.5,13.60,1162532243,0.181591984,0.072794137,0.09762517,,1.161336326,0.202298471
3D Systems Corporation,DDD,"NEW YORK STOCK EXCHANGE, INC.",53065196.91,9.94,266546089,-0.003287668,-0.027162974,-0.010685906,-0.005724872,0.481346152,-0.094567217
3M Co,MMM,"NEW YORK STOCK EXCHANGE, INC.",10378010967,82.07,63894267160,0.064420994,0.043986844,0.067516292,0.051094626,0.299431948,-0.034989277
"3PAR, Inc.",PAR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
7 Days Group Holdings Ltd ADR,SVN,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"7-Eleven, Inc.",SE,"NEW YORK STOCK EXCHANGE, INC.",464457580.2,23.95,2704339349,0.187733635,0.037995827,0.051891605,0.082927335,4.16181122,0.564509278
99 Cents Only Stores,NDN,"NEW YORK STOCK EXCHANGE, INC.",488284619.5,16.16,1123212402,0.074543644,0.027227725,0.071430357,0.009231181,0.822500995,-0.352722818
A.H. Belo Corporation,AHC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
A.M. Castle & Co.,CAS,"NEW YORK STOCK EXCHANGE, INC.",119010356.4,11.94,188609457,0.083026137,0.041038521,0.177531254,0.050786737,3.51503733,0.829145498
A.O. Smith Corporation,AOS,"NEW YORK STOCK EXCHANGE, INC.",590598967.4,19.96,882857546,0.02826963,0.049098189,0.086149785,-0.023464914,1.801769337,0.198806011
"AAG Holding Company, Inc. 7 1/2 % Debs 2003-5.11.33 Sr",GFW,"NEW YORK STOCK EXCHANGE, INC.",,25.73,,,,,,,-0.013214175
Aames Investment Corporation,AIC,"NEW YORK STOCK EXCHANGE, INC.",357626747.7,10.70,599847350,,0.083177583,,,,-0.28031772
AAR Corporation,AIR,"NEW YORK STOCK EXCHANGE, INC.",311130278.2,13.62,439292833,-0.025113513,0.02643172,0.058743914,-0.053808165,1.559566066,0.758443129
"Aaron's, Inc.",AAN,"NEW YORK STOCK EXCHANGE, INC.",375178378.5,14.87,1109075509,-0.174751333,0.045959642,0.462461107,0.122037494,1.292101513,-0.130493342
